contrast,TimePoint,estimate,std_error,df,t_ratio,p_value_raw,Protein,p_value_FDR,Significant_FDR
Female - Male,X3min,-260564.67054863757,58284.065929815195,18.0,-4.470598720109981,0.0002955654059460831,VCAM-1,0.010457579785436766,True
Female - Male,X1hr,-169676.8078544272,55368.767486866716,18.0,-3.0644859106656828,0.006677980189278811,VCAM-1,0.06292705686364372,False
Female - Male,X2hrs,-243354.29781045826,59897.25285978359,18.0,-4.06286242175644,0.0007301366478211221,VCAM-1,0.018618484519438615,True
Female - Male,X3min,-0.9392561434447158,0.5187667643300944,18.0,-1.8105557410903477,0.08693497923967468,MIP-1a,0.22435202418405387,False
Female - Male,X1hr,-1.0049385321421938,0.42807415984606945,18.0,-2.34758045779628,0.030530684823418412,MIP-1a,0.14829189771374657,False
Female - Male,X2hrs,-0.9013138542862541,0.5666371826893037,18.0,-1.5906366222007335,0.12910076640959975,MIP-1a,0.3062390272971901,False
Female - Male,X3min,-49.45478421200292,57.22883162168019,18.0,-0.8641585510417409,0.3988705728878965,VEGF1,0.5195869305287422,False
Female - Male,X1hr,-34.90027528702501,30.70940621830806,18.0,-1.1364685803080905,0.270665044461627,VEGF1,0.4247359159243993,False
Female - Male,X2hrs,-25.098778836379132,38.08492975447085,18.0,-0.6590212716207714,0.518224725088146,VEGF1,0.6143276803080002,False
Female - Male,X3min,-68.9865451102493,44.472797465178374,18.0,-1.55120768294967,0.13825621944255023,MDC,0.32050305416227554,False
Female - Male,X1hr,-86.58003895819942,39.40308432812982,18.0,-2.1972909084274406,0.041331065678316105,MDC,0.1704362072574677,False
Female - Male,X2hrs,-76.68887115565602,42.395901111573295,18.0,-1.8088746587514182,0.08720525983489906,MDC,0.22435202418405387,False
Female - Male,X3min,18073476.905319124,12477968.48032117,18.0,1.4484310433883971,0.1646928432319864,SAA,0.35741851084388543,False
Female - Male,X1hr,4475636.65374821,1518514.2332035617,18.0,2.947378796908673,0.008615453083874508,SAA,0.06515042289941096,False
Female - Male,X2hrs,4094133.16882308,1800546.548443451,18.0,2.2738280064808127,0.03545377016444703,SAA,0.16437657076243622,False
Female - Male,X3min,-0.9020605429844886,1.0612991349164425,18.0,-0.8499588036086632,0.40651190572896656,IL-8,0.5195869305287422,False
Female - Male,X1hr,-1.2346723230443253,1.235963743106302,18.0,-0.9989551311119119,0.33105711756783407,IL-8,0.47201613675833853,False
Female - Male,X2hrs,0.08185833218214074,0.9505816856900416,18.0,0.08611393782820309,0.9323265184345373,IL-8,0.9415574740626019,False
Female - Male,X3min,-23.54933699258592,11.54405004626419,18.0,-2.0399545132088894,0.05630718251518242,IL-16,0.19144442055162023,False
Female - Male,X1hr,-17.517508421774064,5.917209894902165,18.0,-2.9604338417783467,0.008375024462411408,IL-16,0.06515042289941096,False
Female - Male,X2hrs,-27.941344308568432,8.283533350430554,18.0,-3.3731190696680327,0.0033871969973898676,IL-16,0.038388232637085164,True
Female - Male,X3min,-0.5522026274696078,0.5631293759418917,18.0,-0.9805963799100201,0.33978893252082876,TNF-a,0.47201613675833853,False
Female - Male,X1hr,-0.46622080531575916,0.4781353372365699,18.0,-0.9750812563035562,0.3424430796089907,TNF-a,0.47201613675833853,False
Female - Male,X2hrs,-0.4719701691052346,0.569006682622078,18.0,-0.8294633147897615,0.4177071402289888,TNF-a,0.5195869305287422,False
Female - Male,X3min,-13.779159150493232,7.637802438096255,18.0,-1.8040737845960477,0.08798118595453093,MCP-4,0.22435202418405387,False
Female - Male,X1hr,-12.992893214279668,3.3057430269181056,18.0,-3.9304002484405896,0.000980682256423068,MCP-4,0.020005918031030585,True
Female - Male,X2hrs,-9.704567999262407,4.3577059300395184,18.0,-2.2269901078833008,0.03895141410029942,MCP-4,0.1704362072574677,False
Female - Male,X3min,-1892.686638894412,418.22651221661926,18.0,-4.525506115963544,0.0002618524298681998,Tie-2,0.010457579785436766,True
Female - Male,X1hr,-1229.4830631082932,276.1295184580363,18.0,-4.4525593278617155,0.0003075758760422578,Tie-2,0.010457579785436766,True
Female - Male,X2hrs,-1164.1615188275725,315.28766342543685,18.0,-3.692378909404706,0.0016667092402108544,Tie-2,0.028334057083584524,True
Female - Male,X3min,-68.99459244898779,32.29480965265676,18.0,-2.1363987956904364,0.046632248634357054,Flt-1,0.18294189848863154,False
Female - Male,X1hr,-44.72849731748865,14.630939822288514,18.0,-3.0571171681910725,0.006786251230392951,Flt-1,0.06292705686364372,False
Female - Male,X2hrs,-35.628858841400074,12.331891834243214,18.0,-2.8891640731445447,0.009771329119363813,Flt-1,0.06515042289941096,False
Female - Male,X3min,-9.504953885615926,7.7497597416341755,18.0,-1.2264836849782954,0.23581948328412516,MIP-1ß,0.4247359159243993,False
Female - Male,X1hr,-11.235157397607281,5.70334383786205,18.0,-1.9699246121234875,0.06443131028554766,MIP-1ß,0.20390697696063895,False
Female - Male,X2hrs,-9.328865526239762,7.004671209046342,18.0,-1.3318063400594429,0.1995435067901388,MIP-1ß,0.41537627944069705,False
Female - Male,X3min,-0.05873250074047498,0.2500961480465922,18.0,-0.23483968545382508,0.8169839048135015,IL-12p70,0.8590964772265686,False
Female - Male,X1hr,-0.0657528082483865,0.22564815912769878,18.0,-0.29139527883839583,0.7740803907819827,IL-12p70,0.8296019229042293,False
Female - Male,X2hrs,-0.08731069891801008,0.23957840261101376,18.0,-0.36443476526458934,0.7197794930831738,IL-12p70,0.7894355730589648,False
Female - Male,X3min,3760648.7021524375,1357975.4415658403,18.0,2.769305384356692,0.012640357427732648,CRP,0.07584214456639589,False
Female - Male,X1hr,2717084.859157702,1010236.7480151583,18.0,2.689552587050548,0.014980214945699268,CRP,0.08488788469229584,False
Female - Male,X2hrs,2407733.6953351144,1098447.7083115883,18.0,2.191942026112481,0.04177358021016365,CRP,0.1704362072574677,False
Female - Male,X3min,-13.614004488096146,11.634982223125256,18.0,-1.1700924184514403,0.2572237291310268,IFN-<U+03B3>,0.4247359159243993,False
Female - Male,X1hr,-9.758156797619076,9.985925637896177,18.0,-0.9771910137791606,0.3414260667930127,IFN-<U+03B3>,0.47201613675833853,False
Female - Male,X2hrs,-10.557370278322662,11.276371357192518,18.0,-0.9362382582042893,0.36154279522889154,IFN-<U+03B3>,0.49169820151129245,False
